ID	TumorCurrentSmoker	NormalCurrentSmoker	TumorFormerSmoker	NormalFormerSmoker	TumorNeverSmoker	NormalNeverSmoker
AP2B1	1455.14998456276	1009.53417698946	1367.08818565916	1049.81008253926	1325.35804473211	962.594738875591
AP2M1	2026.52870361576	1768.28247677153	1857.37402301495	1965.40040351898	2065.09458338229	2062.58791015027
AP2S1	1585.21536945082	1344.32206286295	1498.24176379194	1416.49791009296	1730.33731717869	1229.43883562714
AP3B1	420.253142302032	488.624961241566	485.95172559169	442.941795390197	497.880702383051	405.912453409042
AP3B2	116.160216816337	100.009396314747	78.4718523422546	81.2731865782027	81.1058724943392	68.4626341451958
AP3D1	604.525660718318	508.090978247931	508.553865220071	552.329077333409	670.177696844283	523.297340434701
AP3M2	542.360186001373	510.672387731241	532.75866117174	619.635392219736	505.183847463214	653.727041838298
AP3S1	3341.68944372167	3018.81283193914	3787.9304468496	3011.66318453693	3459.80706148396	2747.68073718701
AP4E1	30.4278993470768	29.2811207835162	36.4040098739594	32.1942473218986	26.3796518275017	25.6742450771431
AP4M1	113.573112740134	63.6638999515324	117.377321242377	69.5759889719004	116.824238999057	80.6376404860839
AP4S1	67.9375423292503	58.213840326962	65.6209346851407	60.4451542305082	68.2850089150262	58.3449952870809
AP5M1	827.510954028143	804.6638791853	866.683615893135	696.145219572453	826.850272118127	761.118941281821
AP5S1	319.428994510715	389.572764165072	380.007303607898	365.982586800213	321.215412615331	353.064347496355
APAF1	162.106388134841	180.961975253706	178.21859268715	171.832342516294	149.31287246523	158.553303172349
APBA1	67.8205330138534	76.3936083018359	76.6779759905555	58.4386930421991	85.3528996361408	64.7613354167075
APBA2	249.139947918196	127.256532360576	153.508782079689	113.665389740387	167.726555449436	134.953556701137
APBA3	184.699467796809	149.345966356445	196.288006962209	187.651705610506	208.226988315892	168.613615491905
APBB1	183.325369496819	214.41353627205	217.31297779671	286.590852826176	221.187250039961	262.435188581374
APBB1IP	74.9408387097111	80.8797283420303	77.9601422676123	75.7828756958734	80.629147306887	57.3427872474558
APBB2	201.521964304703	292.235513887943	231.521478428929	315.235082287612	225.964062123166	325.539879829831
APC	110.913333954645	154.472029347882	122.210992483005	142.823842729423	121.52494251309	144.316646446954
APC2	18.3882139127156	13.9710582686791	26.0083155240218	21.761653084169	19.7002598102096	19.4689265449026
APCS	103.268406590899	132.934417212969	135.904545465437	124.493042893301	110.967175787144	129.907540767001
APEH	411.274257010932	411.680406078507	512.940049075618	410.969291346177	565.425228351493	438.967787600601
APEX1	2233.75182281817	1546.76478582414	2256.35328267257	1434.93064678804	2293.14762752357	1471.13899143325
APEX2	359.444011378485	303.056577691343	403.954655097571	304.966674882876	362.896125040897	288.387653119677
APH1A	1537.65552539424	1142.97739570713	1605.31378026229	1296.63900138429	1623.90994851587	1315.12506372459
APH1B	393.443541860389	424.443710895285	421.389258066986	370.412850671777	406.953168035914	370.409274446099
API5	382.967639965127	346.391446829605	383.895063899053	311.373085145824	401.845855405773	327.891682390114
APIP	623.0178730282	856.015757039146	505.285787738118	651.930237620116	659.683649317619	856.548292595897
APLNR	119.278825873164	217.891729395806	171.82199664084	312.401119007677	120.38682074706	268.134152546638
APLP1	106.73348468786	18.553120527091	30.9118257988647	18.4660691051532	22.7620141243912	17.3673518173652
APLP2	2956.45602497218	3936.6008048488	3170.92461367755	4193.71053360037	4491.42029161864	4370.12698257753
APMAP	2356.21461650803	1825.96295797251	1976.62813936062	1821.37930587527	2461.66945874549	1781.45430805657
APOA1	56.029968337523	75.6946303145879	52.3450492539641	52.161568521148	47.4760509083134	59.0108199923867
APOA2	28.8144648047793	26.1038631362823	42.9492028490118	29.4759956769629	28.4685089037142	23.8200688922319
APOA4	11.8441543160918	11.7696273899672	21.7120719940385	12.3668651483926	36.452810018081	15.8649836683508
APOB	86.807574822759	111.75712987607	106.098815181579	102.467798331477	99.7446601345878	82.7274836434146
APOBEC1	108.099505378485	138.805894639573	179.370659845683	132.871705120299	112.922735667282	125.962310032675
APOBEC2	136.325771444322	145.864841505918	207.607591117029	149.916041939999	161.044207248881	105.006343548469
APOBEC3B	448.171577897343	163.650166013302	432.481069682276	106.023046493638	267.032744993276	111.447209092478
APOBEC3C	282.01840007254	260.698520357665	285.183199321072	282.706948834671	246.83578965715	285.369635981138
APOBEC3F	26.94387793185	18.8272996108648	27.5194874932691	21.5355733520759	44.5164776778852	28.5081207547965
APOBEC3G	189.770766470618	145.449825083891	157.77236046934	134.145996630678	170.357325977614	166.022742865411
APOBR	78.1953817895766	195.475494618634	98.8434241637351	152.870516014208	109.718463890275	142.934684751136
APOC1	1950.44255414978	3714.12793355668	1807.03785855717	3240.10909567998	2334.18877624834	2704.85348696233
APOC3	13.9316645670394	12.6485795007996	16.8320720956817	12.6617483112789	15.396035670715	12.6396074554014
APOD	769.908573974954	1397.24866879547	1636.69098790516	1408.81637659141	2430.71266516078	1154.63338272071
APOE	841.70409718377	929.018743270218	829.42968392396	838.055972933211	916.818285903067	616.368404468813
APOF	31.6201184302978	32.5168635818215	34.3578302205077	30.1752474930796	20.5265155359497	21.8654531416339
APOH	171.363439737649	292.802491490729	217.731146819429	271.306569105944	347.366197741248	302.953210294181
APOL1	680.037946306777	421.684627342465	429.529152542668	497.963563215425	452.094187295604	629.913499764655
APOL2	183.454202210456	169.771724353758	166.797005460183	187.010765857431	148.21279330886	182.794296034965
APOL3	400.208706419694	620.544359912169	459.646485738414	784.009372436903	419.056424568186	928.290060149588
APOL5	40.7216041521512	34.9858316512304	47.8489072433975	40.6771003639706	36.1582242394438	36.2952224696217
APOL6	401.141224780951	348.542762776183	528.338396974189	367.990143777565	394.448310994376	314.973531695667
APOLD1	301.37940001808	1068.91252053946	396.667490481166	998.980394094373	308.759218119854	779.308505534378
APOM	218.682346849185	233.662067288994	234.296024929058	232.903177088996	218.672889970971	224.740619926776
APOO	548.671579468633	409.938075495543	537.81789401269	385.322812089576	486.366497648	369.469478292815
APOOL	295.899226485034	299.580475710589	331.152621063774	276.340698745762	301.200489732378	291.192856751844
APP	1825.81012784766	1712.63485416742	1914.50939040106	2047.54356490847	2418.14016902125	2176.35172756566
APPBP2	301.787840638398	308.829936924274	306.65049192366	323.680051389942	298.781021736373	308.625582667745
APPL1	260.728185131313	300.492691729008	294.812464784781	287.783534402373	256.266150971791	325.146632403594
APPL2	272.938595243472	274.976232636436	294.800006151665	284.711265112793	203.540655555747	277.356786384822
APRT	840.587787184828	504.715192496785	666.545062741047	507.153600690271	985.59785678726	447.109139905491
APTX	644.051097006795	542.391726203012	608.997909411895	498.701858697867	500.712326047034	585.958666792403
AQP1	1041.80072459375	3517.47675810622	1759.82404013486	4295.87514953443	2805.85558679141	4766.10952414931
AQP2	374.26348736911	434.975177101765	428.313589728497	486.343216375443	393.177520986808	401.876100219688
